2009-11-04 22:17:40 Notice: Notice (8): Undefined index:  2009-04-23 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:40 Notice: Notice (8): Undefined index:  2009-04-24 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:41 Notice: Notice (8): Undefined index:  2009-04-25 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:41:37 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/index.ctp, line 5]
2009-11-04 22:41:37 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/index.ctp, line 6]
2009-11-04 22:41:37 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/index.ctp, line 7]
2009-11-04 22:48:54 Notice: Notice (8): Undefined property: PontosController::$Funcionario in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 65]
2009-11-04 22:54:11 Notice: Notice (8): Undefined variable: funcionario in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 18]
2009-11-04 23:07:53 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1740]
2009-11-04 23:07:53 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1744]
2009-11-04 23:07:53 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1748]
2009-11-04 23:07:53 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1749]
2009-11-04 23:08:10 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1740]
2009-11-04 23:08:10 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1744]
2009-11-04 23:08:10 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1748]
2009-11-04 23:08:10 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1749]
2009-11-04 23:08:49 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1740]
2009-11-04 23:08:49 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1744]
2009-11-04 23:08:49 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1748]
2009-11-04 23:08:49 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ponto/cake/libs/model/datasources/dbo_source.php, line 1749]
2009-11-04 23:11:02 Notice: Notice (8): Undefined offset:  0 in [/Applications/MAMP/htdocs/ponto/cake/libs/model/model.php, line 1092]
2009-11-04 23:28:57 Notice: Notice (8): Undefined variable: ts2 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 260]
2009-11-04 23:28:57 Notice: Notice (8): Undefined variable: ts1 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 260]
2009-11-04 23:28:57 Notice: Notice (8): Undefined variable: ts1 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 266]
2009-11-04 23:28:57 Notice: Notice (8): Undefined variable: ts2 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 267]
2009-11-04 23:28:57 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 269]
2009-11-05 00:04:54 Notice: Notice (8): Undefined index:  2009-10-31 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 156]
2009-11-05 00:04:54 Notice: Notice (8): Undefined index:  2009-11-01 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 156]
2009-11-05 00:04:55 Notice: Notice (8): Undefined index:  2009-11-02 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 156]
2009-11-05 00:04:55 Notice: Notice (8): Undefined index:  2009-11-03 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 156]
2009-11-05 00:04:56 Notice: Notice (8): Undefined index:  2009-11-04 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 156]
2009-11-05 00:42:50 Notice: Notice (8): Undefined variable: loopData in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 237]
